sum=(AxorB)
A,B,SPICE,Function,Result
False,False,False,False,Matched
False,True,True,True,Matched
True,False,True,True,Matched
True,True,False,False,Matched
Timing Results for Half Adder
cell_fall: A -> sum
Transition Time (Horizontal)/Load Capacitors(Vertical),0.0100000000,0.0230000000,0.0531329000,0.1224740000,0.2823110000,0.6507430000,1.5000000000
0.0005000000,0.0837600000,0.0887700000,0.0989200000,0.1177900000,0.1552100000,0.2391400000,0.4464500000
0.0012632050,0.0892800000,0.0946200000,0.1046800000,0.1235000000,0.1608900000,0.2448100000,0.4521200000
0.0031913740,0.1016000000,0.1065900000,0.1166900000,0.1355700000,0.1730200000,0.2569500000,0.4642600000
0.0080627180,0.1268600000,0.1318400000,0.1419600000,0.1609700000,0.1985400000,0.2825300000,0.4898600000
0.0203697300,0.1719700000,0.1776600000,0.1889300000,0.2095900000,0.2488700000,0.3335100000,0.5408500000
0.0514622900,0.2437000000,0.2505400000,0.2639500000,0.2877800000,0.3309300000,0.4186800000,0.6273200000
0.1300148000,0.3596100000,0.3684800000,0.3855300000,0.4154700000,0.4659000000,0.5590800000,0.7688000000
cell_rise: A -> sum
Transition Time (Horizontal)/Load Capacitors(Vertical),0.0100000000,0.0230000000,0.0531329000,0.1224740000,0.2823110000,0.6507430000,1.5000000000
0.0005000000,0.0563231000,0.0662271000,0.0908135000,0.1507420000,0.2981620000,0.6670500000,1.5970500000
0.0012632050,0.0613258000,0.0712867000,0.0957516000,0.1554530000,0.3028260000,0.6717450000,1.6017600000
0.0031913740,0.0726532000,0.0824213000,0.1066540000,0.1661920000,0.3136470000,0.6827560000,1.6128600000
0.0080627180,0.0933368000,0.1027080000,0.1268300000,0.1862280000,0.3338010000,0.7033140000,1.6337600000
0.0203697300,0.1214100000,0.1309580000,0.1545690000,0.2135930000,0.3609720000,0.7306720000,1.6614900000
0.0514622900,0.1527920000,0.1631170000,0.1867160000,0.2452100000,0.3922220000,0.7618540000,1.6929100000
0.1300148000,0.1731240000,0.1859510000,0.2114740000,0.2695500000,0.4158730000,0.7850970000,1.7161600000
fall_transition: A -> sum
Transition Time (Horizontal)/Load Capacitors(Vertical),0.0100000000,0.0230000000,0.0531329000,0.1224740000,0.2823110000,0.6507430000,1.5000000000
0.0005000000,0.0156000000,0.0196000000,0.0260000000,0.0429000000,0.0821000000,0.1842000000,0.4517000000
0.0012632050,0.0164000000,0.0182000000,0.0265000000,0.0426000000,0.0821000000,0.1842000000,0.4517000000
0.0031913740,0.0152000000,0.0192000000,0.0258000000,0.0428000000,0.0822000000,0.1842000000,0.4517000000
0.0080627180,0.0158000000,0.0198000000,0.0262000000,0.0429000000,0.0821000000,0.1842000000,0.4517000000
0.0203697300,0.0181000000,0.0220000000,0.0299000000,0.0460000000,0.0845000000,0.1849000000,0.4517000000
0.0514622900,0.0240000000,0.0277000000,0.0363000000,0.0534000000,0.0915000000,0.1899000000,0.4534000000
0.1300148000,0.0332000000,0.0384000000,0.0492000000,0.0682000000,0.1055000000,0.1983000000,0.4566000000
rise_transition: A -> sum
Transition Time (Horizontal)/Load Capacitors(Vertical),0.0100000000,0.0230000000,0.0531329000,0.1224740000,0.2823110000,0.6507430000,1.5000000000
